num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,117.25797986984253,104,0.39048989125102,0.5368856091140829,0.47302662962370734,0.6333569432230038
400,416.01965284347534,217,0.3915918963502702,0.5477106076757773,0.48061332413921726,0.6552664582463222
600,781.4930012226105,337,0.40099824523052086,0.5744377835754987,0.48047695030735876,0.6752079429621317
800,1390.202919960022,431,0.39315400978073506,0.5805566119825274,0.4755072087197532,0.6872396426901052
1000,1894.3740475177765,561,0.3971403057234624,0.610122338711577,0.4752393001812177,0.7168003821517781
1200,2779.9603650569916,657,0.3888246629625166,0.6079573353161457,0.4686901105514696,0.7170337319290598
1400,3714.295651435852,777,0.39513866092523464,0.6101609211085881,0.47592251435271876,0.7153858769552806
1600,1450.9162542819977,876,0.3938177170777364,0.6018621739741363,0.46917965418798624,0.7030113342562047
1800,33383.13996434212,994,0.3925162759070368,0.6053532685616074,0.47071275124661005,0.7109253138371912
2000,2112.9433505535126,1087,0.39612302919847076,0.588560447822409,0.47724256475855464,0.6913242702472535
