num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,115.90410041809082,104,0.39048989125102,0.5368856091140829,0.47302662962370734,0.6333569432230038
400,140.03931713104248,218,0.3915918963502702,0.5291433027388984,0.48061332413921726,0.6323427365460463
600,135.72237610816956,330,0.40099824523052086,0.5399372390943226,0.48047695030735876,0.6336025684302786
800,178.74582433700562,419,0.39315400978073506,0.544189387208635,0.4755072087197532,0.6451056100998246
1000,157.76142501831055,538,0.3971403057234624,0.5630719379717154,0.4752393001812177,0.6617564325930967
