num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,118.27954483032227,104,0.39048989125102,0.5368856091140829,0.47302662962370734,0.6333569432230038
400,141.0181918144226,218,0.3915918963502702,0.5291433027388984,0.48061332413921726,0.6323427365460463
600,142.14402842521667,330,0.40099824523052086,0.5399372390943226,0.48047695030735876,0.6336025684302786
800,196.8917784690857,419,0.39315400978073506,0.544189387208635,0.4755072087197532,0.6451056100998246
1000,164.1072907447815,538,0.3971403057234624,0.5630719379717154,0.4752393001812177,0.6617564325930967
1200,194.5817575454712,621,0.3888246629625166,0.5542117461521967,0.4686901105514696,0.6531918363266502
1400,218.03468418121338,731,0.39513866092523464,0.553153008629077,0.47592251435271876,0.6474312941959302
1600,239.26968097686768,846,0.3938177170777364,0.5579625903143338,0.46917965418798624,0.6516864131800912
1800,344.93191266059875,953,0.3925162759070368,0.5601340053172994,0.47071275124661005,0.6575728330405336
2000,344.0144534111023,1052,0.39612302919847076,0.5470252385467832,0.47724256475855464,0.6428580855931523
