num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
1200,2711.201826810837,657,0.3888246629625166,0.6079573353161457,0.4686901105514696,0.7170337319290598
1400,4083.384626150131,777,0.39513866092523464,0.6101609211085881,0.47592251435271876,0.7153858769552806
1600,6926.404190301895,884,0.3938177170777364,0.6172472312106185,0.46917965418798624,0.7212291489126662
1800,10181.362550020218,998,0.3925162759070368,0.6175899336652164,0.47071275124661005,0.7247873414215246
2000,14034.755541563034,1096,0.39612302919847076,0.6040539210497896,0.47724256475855464,0.7086598647661964
