num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,117.4530087,104,0.390489891,0.536885609,0.47302663,0.633356943
400,456.6597223,217,0.391591896,0.547710608,0.480613324,0.655266458
600,780.557591,337,0.400998245,0.574437784,0.48047695,0.675207943
800,1372.8818,431,0.39315401,0.580556612,0.475507209,0.687239643
1000,1985.056067,561,0.397140306,0.610122339,0.4752393,0.716800382
1200,2711.201827,657,0.388824663,0.607957335,0.468690111,0.717033732
1400,4083.384626,777,0.395138661,0.610160921,0.475922514,0.715385877
1600,6926.40419,884,0.393817717,0.617247231,0.469179654,0.721229149
1800,10181.36255,998,0.392516276,0.617589934,0.470712751,0.724787341
2000,14034.75554,1096,0.396123029,0.604053921,0.477242565,0.708659865
