num_totes,run_time,num_save,avg_util_before_3d,avg_util_after_3d,avg_util_before_2d,avg_util_after_2d
200,58.22502326965332,106,0.3769218937584863,0.6180306497807222,0.45061530620402934,0.7164694737212162
400,142.8539309501648,208,0.351809015044579,0.6181514119271959,0.4257037662562624,0.728351736832871
600,306.25485587120056,318,0.369087350534638,0.6211320678689216,0.4427839516043064,0.7212801537512443
800,589.4089720249176,424,0.35963158670663875,0.6310785600906853,0.43089208739739876,0.7356329006173634
1000,851.8316464424133,514,0.35762510250270435,0.6107519824115741,0.42935628531073466,0.7149269871945911
1200,1305.2942850589752,645,0.36373404884717125,0.6427807013829667,0.43579787824681093,0.7526909024470607
1400,1708.7129926681519,726,0.3623258265373705,0.6186412856511897,0.4324310393728964,0.7256121957318262
1600,1859.6362318992615,836,0.3580686985841352,0.6282197315999122,0.42978922239766526,0.7371247933608733
1800,3525.3114256858826,949,0.35679734842196414,0.6304459426241784,0.43142809712894825,0.7394418531794912
2000,5554.336076974869,1075,0.3656566432592429,0.6513550237905316,0.43677301860142864,0.7581076543444591
