run,avg_util,num_totes,run_time,unpacked
0,0.5709695566103409,418,2.4432122707366943,7
1,0.5774138849646778,401,1.4065635204315186,5
2,0.5645676931613297,418,1.5518295764923096,3
3,0.5698273495114555,437,2.011857271194458,4
4,0.5740309198308962,416,1.79093337059021,4
5,0.5513831701095563,427,1.4410603046417236,4
6,0.569665739790828,398,1.3778777122497559,7
7,0.5787805813735022,411,1.4802136421203613,6
8,0.5811371978015575,391,1.5699551105499268,10
9,0.5757868229939237,402,1.7825937271118164,6
10,0.5741044641937878,407,1.9426660537719727,6
11,0.571321836741547,432,2.0591185092926025,7
12,0.5731962864815694,400,1.9964497089385986,5
13,0.5724069008555833,400,1.958559274673462,9
14,0.55711073676505,431,2.4255082607269287,8
15,0.5657044320301133,427,1.6107475757598877,3
16,0.5438117485467003,444,1.6111805438995361,4
17,0.5832248844194556,407,1.6268117427825928,5
18,0.5702716452609297,408,1.619870901107788,12
19,0.5819777146154161,395,1.6268227100372314,8
20,0.5741908974722478,420,1.834101915359497,9
21,0.5721321343194898,419,2.363502264022827,3
22,0.5693401797293182,406,1.756317138671875,4
23,0.5764316742957426,388,1.699328899383545,6
24,0.5634770631381362,417,2.1298887729644775,4
25,0.5813981869823689,402,1.5956766605377197,4
26,0.562577794141435,415,1.6065435409545898,7
27,0.5920933198613131,396,2.3704352378845215,10
28,0.5680173458719117,406,1.4630050659179688,5
29,0.573633319235329,401,1.4833011627197266,4
30,0.5740423276892034,405,1.4213287830352783,7
31,0.5628531995606432,436,1.455399513244629,3
32,0.5731836073273089,409,1.6099066734313965,8
33,0.5624908093193529,412,1.4969482421875,7
34,0.571620138509939,408,1.9732704162597656,6
35,0.5687046790970045,396,2.125044584274292,4
36,0.579538562240065,410,1.7865939140319824,3
37,0.5661592357607337,407,1.7915422916412354,3
38,0.5702577973710993,402,1.6120567321777344,5
39,0.5743397907695365,441,1.8902432918548584,3
40,0.5672474740418201,417,1.6251988410949707,6
41,0.5770942640313084,387,1.7741527557373047,1
42,0.568132095907337,416,1.6734211444854736,6
43,0.5894411068936548,367,1.5905709266662598,5
44,0.5543361011393673,442,1.6444637775421143,14
45,0.5623670789309635,418,1.904259443283081,6
46,0.5700309436264869,425,1.9435272216796875,13
47,0.5637869017100079,428,1.8944110870361328,9
48,0.5853981864156402,406,1.9315619468688965,7
49,0.5643353972768392,407,1.8893165588378906,5
50,0.5604088993352364,426,1.9656376838684082,3
51,0.5770366996573004,391,1.8530852794647217,14
52,0.5612411790257409,428,1.7021183967590332,11
53,0.5630977605364661,426,1.9963030815124512,8
54,0.5655193670554374,410,1.8175499439239502,6
55,0.5715425789612784,420,1.6658339500427246,4
56,0.5751494815630381,401,1.6710312366485596,8
57,0.5814203889866814,384,1.4759511947631836,8
58,0.5733006737106849,404,1.3349604606628418,6
59,0.5655380496008963,420,1.4218783378601074,9
60,0.5741747768718517,418,1.6256818771362305,6
61,0.579573566634017,402,1.7350361347198486,5
62,0.5643482582509138,419,1.8761725425720215,4
63,0.5598050381405189,422,1.6616787910461426,7
64,0.5763773337883076,411,1.7869634628295898,3
65,0.5648788602946163,431,1.589597225189209,6
66,0.5684129520346852,428,1.6359078884124756,8
67,0.5761020637724058,404,1.5766212940216064,7
68,0.5568846909700328,444,1.7321829795837402,6
69,0.5812175288664149,387,1.520392894744873,7
70,0.5865503817401678,381,1.8896172046661377,9
71,0.548686128020524,430,1.7704737186431885,0
72,0.5722634648283316,410,1.8845691680908203,3
73,0.5762230139901714,400,1.876035451889038,5
74,0.5729652490438908,416,1.701517105102539,6
75,0.5635121306934747,426,1.8414673805236816,7
76,0.5745022399311775,394,1.5576653480529785,4
77,0.5697729384550815,428,1.7775776386260986,5
78,0.5631257505532357,422,1.6846134662628174,8
79,0.5831332135525024,404,1.5616540908813477,3
80,0.5614925547464081,430,1.676844835281372,7
81,0.5742228370091126,411,1.4873850345611572,4
82,0.5767100646595358,406,1.7660458087921143,7
83,0.5908814171743437,417,1.9138457775115967,5
84,0.5738409816015987,429,1.6570072174072266,9
85,0.560648899021566,420,1.5374786853790283,7
86,0.5510884044830566,427,1.5246613025665283,9
87,0.5689647660009073,391,1.5425162315368652,7
88,0.5767698042707905,388,1.6208128929138184,5
89,0.5725890207012116,427,1.6305489540100098,4
90,0.5712883094886926,420,1.4553022384643555,9
91,0.5844451069243223,405,1.5398435592651367,2
92,0.5474730142829067,415,1.4103293418884277,5
93,0.5667402012883371,398,1.565596580505371,4
94,0.5718808841952444,424,1.613767147064209,1
95,0.5882958432749745,396,1.5327949523925781,7
96,0.5800706111174736,407,1.547546148300171,7
97,0.5862372402169624,413,1.5491268634796143,8
98,0.5684496525604086,408,1.5462205410003662,4
99,0.5624995382737733,431,1.5630502700805664,5
