run,avg_util,num_totes,run_time,unpacked
0,0.6525759707752836,588,14.4957275390625,7
1,0.6651308158960892,565,14.600642204284668,5
2,0.6668577368219273,569,14.914131164550781,3
3,0.6649003428325592,600,15.71689510345459,3
4,0.6761588075139238,566,16.062629461288452,4
5,0.6558529544088796,583,14.877983570098877,4
6,0.6630278931390744,557,14.361445665359497,7
7,0.6736464920054793,575,14.92531156539917,4
8,0.6708726071232259,547,15.257256746292114,9
9,0.692782075694131,537,15.727843523025513,6
10,0.6755031781027238,559,16.899229526519775,4
11,0.6737019964866231,587,18.19740629196167,6
12,0.665759449210033,565,16.56454873085022,3
13,0.668697456545281,545,15.260409832000732,9
14,0.6498353678187467,585,14.834466457366943,8
15,0.6761442956831653,569,16.207024097442627,3
16,0.6626899996740624,582,15.38533639907837,4
17,0.6733298633407331,583,16.31133008003235,5
18,0.6806890265086823,554,20.297356843948364,12
19,0.6837929687949137,548,16.688857793807983,4
