run,avg_util,num_totes,run_time,unpacked
0,0.39930966261474005,1062,16.653712272644043,7
1,0.4138936367143588,1015,17.208322048187256,5
2,0.4247891770941266,991,16.966633796691895,3
3,0.4284153108448238,1027,17.233243942260742,4
4,0.42529923518705937,998,16.742742776870728,4
5,0.4188016591457638,1000,16.744001865386963,4
6,0.41790876806985827,989,16.978527545928955,7
7,0.42256482581343985,1006,16.53416872024536,6
8,0.40548336248663236,1009,16.760692596435547,10
9,0.417055376034421,1004,16.903963088989258,6
10,0.41956075029694595,994,16.36431574821472,6
11,0.44221795643156675,1000,16.94057559967041,7
12,0.42070220860698787,988,17.24805188179016,5
13,0.4132321951316331,995,16.901132583618164,9
14,0.41837976094671847,1011,16.881831169128418,8
15,0.42098812278706854,1015,17.6862473487854,3
16,0.4182017834211646,1027,17.321907997131348,4
17,0.4411286270377893,970,16.933965921401978,5
18,0.415931499812966,1004,17.100382566452026,12
19,0.4143356372540367,995,17.264111042022705,8
