run,avg_util,num_totes,run_time,unpacked
0,0.8910056729676284,376,10.268878936767578,3
1,0.8822583096013819,367,11.04197096824646,3
2,0.860477340131014,391,10.473362922668457,2
3,0.8834972940922134,389,10.425378799438477,3
4,0.9117845458860969,367,10.759725332260132,2
5,0.8553667501023395,385,10.338021278381348,3
6,0.8764724061458592,370,10.466387748718262,5
7,0.929679076393033,362,10.695782661437988,1
8,0.8971645845106232,355,11.463165998458862,7
9,0.8996141212305782,364,11.14933729171753,3
10,0.8679464205591589,384,10.707618951797485,2
11,0.8712022751999404,399,11.02672815322876,5
12,0.8860970170242679,375,10.56343960762024,4
13,0.8907711587987648,364,10.752380132675171,5
14,0.8723483996024334,394,10.774894714355469,4
15,0.8823994179718202,386,10.90131688117981,3
16,0.8844062559862139,383,10.59539270401001,3
17,0.8854891361515009,383,11.106399774551392,3
18,0.8840079833911296,373,11.325806856155396,10
19,0.8945016808494343,365,11.141640186309814,5
