run,avg_util,num_totes,run_time,unpacked
0,0.7042312219003116,516,15.394357442855835,6
1,0.7137324456534372,506,15.390801668167114,5
2,0.7305947774884339,499,15.466518640518188,3
3,0.7275325661802947,518,14.471102952957153,3
4,0.720536000924099,521,13.678476810455322,3
5,0.7191547495334614,505,13.742720127105713,4
6,0.72898215865721,487,13.810560703277588,6
7,0.7227879026836844,507,13.379051923751831,6
8,0.7330047144953007,480,13.782951354980469,8
9,0.7585843047087474,460,13.251052618026733,6
10,0.7167221715083002,505,13.748153924942017,6
11,0.7311610455813917,525,13.973963975906372,5
12,0.7422073136113432,492,14.075725078582764,5
13,0.7233779182769634,483,13.783693790435791,8
14,0.7311426934643795,501,13.044950723648071,7
15,0.713551751830043,528,13.743757963180542,3
16,0.7231500603503279,512,13.215996503829956,2
17,0.7120520305422745,525,14.072685718536377,5
18,0.7311264747796872,495,14.396142959594727,10
19,0.7240558920582739,497,13.797104597091675,4
