run,avg_util,num_totes,run_time,unpacked
0,0.49086250091682404,845,18.343273878097534,7
1,0.4990511226405323,814,16.71377730369568,5
2,0.5027962214645241,806,16.05775785446167,3
3,0.5098924461663324,843,16.192989110946655,4
4,0.49992893236496433,828,16.740587949752808,4
5,0.4974710433659,817,17.53274893760681,4
6,0.497991746519946,813,16.562750339508057,7
7,0.5015942131488503,828,15.80659794807434,6
8,0.489200991538882,815,16.328510761260986,10
9,0.4957190964808433,830,17.3392596244812,6
10,0.5025653474197751,811,18.577672719955444,6
11,0.514555833257362,833,19.129656076431274,7
12,0.4973536796737976,821,20.153252363204956,5
13,0.4924427168625382,812,19.94276523590088,9
14,0.4975224466580379,831,21.66657829284668,8
15,0.5049968921860257,830,17.527506113052368,3
16,0.491778060611507,857,18.12389039993286,4
17,0.5129859682147753,811,18.7728910446167,5
18,0.4935192767307548,827,18.80653166770935,12
19,0.4977352395549556,806,18.42962670326233,8
