run,avg_util,num_totes,run_time,unpacked
0,0.8358388891224278,410,11.000727415084839,3
1,0.8059986014297955,420,11.2707359790802,5
2,0.8172570884139712,415,11.215571880340576,2
3,0.8346623213695505,423,11.035381078720093,4
4,0.8267620224611532,417,11.29447889328003,3
5,0.8254462215361461,404,10.773682832717896,3
6,0.8251058406772678,397,10.781670331954956,6
7,0.837045011938197,411,10.60515832901001,5
8,0.8409783536083477,393,10.85706639289856,8
9,0.8661628329357653,387,10.925121545791626,5
10,0.8378772393809095,404,11.070600032806396,4
11,0.8549548225408681,420,11.952249765396118,3
12,0.8614933287564026,388,10.701009511947632,4
13,0.8309600179976724,398,11.09394383430481,8
14,0.8524120357217303,401,10.942654371261597,5
15,0.802295861658084,435,11.4630765914917,3
16,0.8574382107303048,396,10.963211297988892,3
17,0.8382645684699935,419,11.015981674194336,2
18,0.8258497003711022,416,11.766334533691406,9
19,0.8311736800381315,397,10.994301557540894,8
