run,avg_util,num_totes,run_time,unpacked
0,0.5604228897895296,715,17.334495782852173,7
1,0.5614648884711771,708,16.07537031173706,5
2,0.5618772781490903,717,15.976444721221924,3
3,0.5676234307174362,736,16.700507164001465,4
4,0.5549246902926811,731,17.669646501541138,4
5,0.5704058828710897,706,17.345262050628662,4
6,0.550452506711562,718,16.378724336624146,7
7,0.5758719821509242,713,16.49439549446106,6
8,0.5665461488757187,687,15.972370862960815,10
9,0.5645918889666325,711,16.32043695449829,6
10,0.5562270976786273,719,15.850878477096558,6
11,0.5654539692947669,748,16.9442298412323,7
12,0.5665600800885849,714,16.316585063934326,5
13,0.5558008056098148,709,16.05240821838379,9
14,0.5664100713632306,718,16.051066398620605,8
15,0.5556828012815234,743,15.937472581863403,3
16,0.5537412490073658,747,15.916720867156982,4
17,0.5850971863493362,702,16.087148427963257,5
18,0.5571027488011802,721,16.45336151123047,12
19,0.5572057731934659,707,17.0572350025177,8
