run,avg_util,num_totes,run_time,unpacked
0,0.6147522173097106,646,11.091623067855835,7
1,0.6198732723347369,629,10.776570558547974,5
2,0.6272679502650026,626,11.191842794418335,3
3,0.6155163735366787,672,11.553434371948242,4
4,0.6293906084124281,632,11.514119148254395,4
5,0.6160901896910455,636,11.439899206161499,4
6,0.6207738531747344,618,12.096341848373413,7
7,0.6252841258485654,636,11.62001657485962,6
8,0.6213487155239344,606,11.652194261550903,10
9,0.6352091606915448,614,11.44625973701477,6
10,0.6273966351558821,624,11.39127254486084,6
11,0.6279533126188088,658,11.952935934066772,7
12,0.6233452580764179,629,11.821534872055054,5
13,0.6196849779542397,615,12.075182437896729,9
14,0.6105648841366365,648,11.378649234771729,8
15,0.6259329776098654,649,11.768710136413574,3
16,0.6133246208068814,665,11.421229124069214,4
17,0.6285720048509797,640,14.908591985702515,5
18,0.625861929228526,631,11.649803161621094,12
19,0.6314654664329712,616,11.56898021697998,8
20,0.6255718585178551,645,11.713151693344116,9
21,0.6186579055583488,650,11.85391879081726,3
22,0.629456006957974,616,13.025554418563843,4
23,0.6220357277160463,600,14.055538177490234,6
24,0.6146828094624004,645,12.322335958480835,4
25,0.6248740241426998,628,11.494879245758057,4
26,0.6139828946850029,633,11.641786575317383,7
27,0.6262971191201123,626,11.484013557434082,10
28,0.6240986193696343,621,11.6066575050354,5
29,0.6361038691617319,616,11.58427357673645,4
30,0.6220130597195936,625,12.338170051574707,7
31,0.6171018728113912,652,12.581007719039917,3
32,0.6301578212388856,622,13.314818620681763,8
33,0.6207039697084402,624,13.379019260406494,7
34,0.631112639336092,619,16.0160174369812,6
35,0.6224823061634744,611,15.568857431411743,4
36,0.6320101911089486,638,14.440258979797363,3
37,0.6208284972431982,624,15.168724775314331,3
38,0.6180541342808923,626,16.727336883544922,5
39,0.6258300103128985,673,18.264894723892212,3
40,0.6161579106401318,647,16.82982850074768,6
41,0.626822504341699,593,18.421072244644165,1
42,0.6268004811949556,638,16.127320289611816,6
43,0.6373969182108977,580,16.838369607925415,5
44,0.6035007963763853,666,15.552404165267944,14
45,0.6180864220723704,642,15.455477237701416,6
46,0.627183567434874,632,11.379945039749146,13
47,0.6197482326221454,644,12.55506443977356,9
48,0.6345455519611515,630,14.103801012039185,7
49,0.6236360202079633,629,14.806631565093994,5
50,0.6216945381000977,645,11.761911630630493,3
51,0.6267884918679372,609,12.468550682067871,14
52,0.6184147678051661,652,13.321377515792847,11
53,0.6194599165316278,646,12.718396663665771,8
54,0.6235575340465718,624,12.436797142028809,6
55,0.6240738413471477,634,12.880106925964355,4
56,0.6230759023700777,610,13.75304627418518,8
57,0.6282474701235391,596,11.970491170883179,8
58,0.6302448660867118,623,11.151448249816895,6
59,0.6116580673133882,645,12.337029695510864,9
60,0.6216980657914031,650,12.957982778549194,6
61,0.6310588597877791,618,12.272530555725098,5
62,0.6210822150826694,642,13.010869979858398,4
63,0.6149518870627505,647,12.910670042037964,7
64,0.623677356620187,634,13.823872804641724,3
65,0.6213030849370818,655,12.415589570999146,6
66,0.6155255288707728,659,11.857001781463623,8
67,0.629446516451634,613,12.577303886413574,7
68,0.6104107866897547,667,11.85530400276184,6
69,0.6241891559703052,608,11.249982595443726,7
70,0.6290617414771561,594,10.968349933624268,9
71,0.6102984373323814,645,11.901111364364624,0
72,0.6268175901737738,628,11.14919662475586,3
73,0.6263468337633865,616,10.97758436203003,5
74,0.616604144849642,637,11.079402208328247,6
75,0.6157992414190018,644,10.766767263412476,7
76,0.6296480008150794,597,11.059768915176392,4
77,0.6248128506070108,643,11.269043684005737,5
78,0.6262923700961667,625,12.32115125656128,8
79,0.6350810843652894,624,13.04530382156372,3
80,0.6136298818369106,662,11.106858015060425,7
81,0.6164882358477851,636,11.413044452667236,4
82,0.6291547839672439,625,11.198143243789673,7
83,0.6260899966322417,643,11.130625247955322,5
84,0.6292643274478857,644,13.149911403656006,9
85,0.623201675400158,633,12.232759714126587,7
86,0.6163948532044677,640,12.567200183868408,9
87,0.6250554193345167,607,12.131917953491211,7
88,0.6252528310284102,606,11.956912755966187,5
89,0.6174596181414345,668,12.325076580047607,4
90,0.61707961648861,648,12.309850692749023,9
91,0.6316468392901295,632,12.680988311767578,2
92,0.6027854404964593,633,12.293113231658936,5
93,0.6222669509406307,603,12.925763130187988,4
94,0.6186914389240273,642,12.410227298736572,1
95,0.6304469299405747,618,12.408810138702393,7
96,0.6302397799869233,626,12.217084646224976,7
97,0.6348900996855249,637,12.677896976470947,8
98,0.6214731216151081,621,13.082829475402832,4
99,0.6204959636336509,658,12.631054401397705,5
