run,avg_util,num_totes,run_time,unpacked
0,0.46224468229508325,898,17.05014681816101,7
1,0.46502052017670986,886,15.215001821517944,5
2,0.47104802018174047,872,15.465387344360352,3
3,0.484529463197465,896,15.962090015411377,4
4,0.47438836347171087,884,17.016050815582275,4
5,0.4733694316125817,867,16.432372331619263,4
6,0.46848318553484963,870,15.894575834274292,7
7,0.4769116399874847,878,15.51832389831543,6
8,0.4612360611845902,873,15.325610876083374,10
9,0.46874767499385417,886,15.59084701538086,6
10,0.47421859253316967,863,17.054016828536987,6
11,0.49084146491208785,882,15.535067319869995,7
12,0.4710952786822702,875,16.017454624176025,5
13,0.4681449121483336,861,16.046186685562134,9
14,0.4665251975352695,893,16.253557205200195,8
15,0.4742647814310194,888,16.473382234573364,3
16,0.4621663535608342,916,15.961273193359375,4
17,0.4876373302712662,862,16.46460723876953,5
18,0.4607307330593565,887,15.858062028884888,12
19,0.4687150482727638,867,16.576014280319214,8
