run,avg_util,num_totes,run_time
0,0.4532556943774562,21,219.48721027374268
1,0.42591855292758346,19,199.60223126411438
2,0.41630117078247947,20,215.8696687221527
3,0.36987019345870004,18,146.91671204566956
4,0.4554383086190956,21,245.87132096290588
5,0.43671193937519315,16,220.23697924613953
6,0.39359375160448956,22,192.14799070358276
7,0.414244550527735,25,202.8575210571289
8,0.34442599296256105,19,195.27127265930176
9,0.460465400111142,21,223.00864934921265
10,0.4289014321471781,16,166.0662214756012
11,0.4011780781326323,24,189.99070477485657
12,0.400469309455006,20,203.36331462860107
13,0.3918440068014221,20,200.81178998947144
14,0.45834067793391037,20,222.25506019592285
15,0.38381945611440565,23,190.041565656662
16,0.4055968693982156,24,224.20009899139404
17,0.4973475792869613,21,247.45932817459106
18,0.43899773408614623,22,256.8784155845642
19,0.40441161217476546,21,181.4683346748352
20,0.4088724123300613,19,216.6664845943451
21,0.4433021429490954,19,219.4064757823944
22,0.4424277899705304,20,220.222895860672
23,0.4116897301673277,23,193.41401886940002
24,0.40614446061138954,19,140.55894207954407
25,0.42094322540677787,21,184.25856590270996
26,0.44799350780527786,21,214.47809052467346
27,0.43310311298434173,23,225.38173079490662
28,0.3772211772344487,23,167.8889515399933
29,0.41270980999604084,19,219.77141094207764
30,0.3812115488472742,24,244.8562388420105
31,0.3959545644943119,20,213.2295422554016
32,0.45023409250463936,20,225.38343811035156
33,0.38957339578769673,20,187.48363971710205
34,0.4712614757739018,16,250.13540506362915
35,0.4522326139003278,17,237.81840085983276
36,0.3717728489376999,25,2450.557762145996
37,0.44410452915234433,16,5281.960192680359
38,0.4325527097266128,19,286.97634267807007
39,0.4549948679232661,19,211.93278098106384
40,0.42878282540339935,19,256.0728464126587
41,0.407460319363861,22,186.41148114204407
42,0.39682756952490295,21,154.52443838119507
43,0.44253367170629554,18,192.22924613952637
44,0.4317090219808934,20,195.52629446983337
45,0.40490678070120467,22,206.84123349189758
46,0.42169936057992874,22,230.85642170906067
47,0.43131055952969694,25,256.6806058883667
48,0.4184981428279343,21,208.72361254692078
49,0.42590986146153226,24,213.6902265548706
50,0.45853639353873626,15,147.34716773033142
51,0.41650341768038657,20,160.53426694869995
52,0.4120944648212029,21,190.99767518043518
53,0.361243379091266,24,145.3721263408661
54,0.3898567333846229,21,243.31036806106567
55,0.4831654447049774,20,191.03744411468506
56,0.42580531698659685,23,201.63230443000793
57,0.37916988127800594,28,189.08145928382874
58,0.40696620296586383,19,164.39984560012817
59,0.4095094853153892,23,218.48070359230042
60,0.41898528234423493,20,239.77028155326843
61,0.4191495823001148,21,226.6130337715149
62,0.4308693389931387,23,306.9932532310486
63,0.44987904479334906,23,587.6828451156616
64,0.4513447940009347,19,256.45015811920166
65,0.42156537311202785,21,272.0162296295166
66,0.42747307127809775,17,194.5097053050995
67,0.41498133744652893,24,226.17054677009583
68,0.36157432293553304,22,197.24637722969055
69,0.38314762068830105,18,182.41703391075134
70,0.40880442254141836,22,182.03353881835938
71,0.4011946512753825,22,215.99479365348816
72,0.4152087517322246,21,182.23257613182068
73,0.4578190131102978,21,627.5835473537445
74,0.42720795521467353,16,202.8058009147644
75,0.43214964637996506,18,224.47631859779358
76,0.45195930728195527,19,234.85080885887146
77,0.4374942632270901,16,193.5341076850891
78,0.42765237890308855,18,234.1386363506317
79,0.4595297572343187,22,300.8310890197754
80,0.4389369123979231,27,217.04797387123108
81,0.403138976423138,18,222.79296612739563
82,0.4135858921192076,17,190.48353910446167
83,0.39458684156675244,26,199.02747631072998
84,0.42366874220866246,23,216.51422810554504
85,0.39672396816429506,24,153.63023376464844
86,0.3905977643160835,22,1005.9323806762695
87,0.42744291207725404,16,187.59985423088074
88,0.44014464138407267,20,191.2786910533905
89,0.38417733762845035,20,206.3790955543518
90,0.43240632748145996,23,211.14169192314148
91,0.43385483788735846,21,214.52932333946228
92,0.4366267433359952,16,214.62709403038025
93,0.4240601853263985,23,192.84045124053955
94,0.3875711603278039,22,167.33110809326172
95,0.33667188656316677,30,215.87250232696533
96,0.4562834812521962,22,200.31189608573914
97,0.4502785486796645,21,225.2781536579132
98,0.41068732392689433,21,245.65480065345764
99,0.42250182504781636,17,209.83046698570251
100,0.4898585585771554,21,1434.018283367157
101,0.44885705428515343,22,219.72156476974487
102,0.4047370862975564,23,218.1616928577423
103,0.44919469264261025,21,201.37918758392334
104,0.41102324451953853,20,208.75894355773926
105,0.43933484111152465,17,146.73623752593994
106,0.40628600926281494,17,4815.448165893555
107,0.3591770734916871,24,558.8970849514008
108,0.4273577625490126,22,259.096027135849
109,0.3947570713837601,22,219.44421195983887
110,0.44527864590320176,18,256.4590222835541
