upc,wmt_item_nbr,Each_dim_x,Each_dim_y,Each_dim_z,weight_per_unit,whpk_qty,case_qty
72312215024,72312215024,5.01,2.00,2.00,0.10,2.00,120
5000086996,5000086996,8.00,5.20,3.20,2.60,2.00,117
5100018064,5100018064,4.00,4.00,3.31,0.98,8.00,115
68113107850,68113107850,3.50,2.00,2.00,0.20,3.00,51
3700024628,3700024628,2.75,1.25,0.54,0.25,12.00,143
3444988909,3444988909,13.39,3.94,3.15,1.85,2.00,99
6905512519,6905512519,8.66,2.36,0.71,0.05,6.00,1
2550020536,2550020536,6.47,6.47,5.28,1.83,6.00,58
60538862809,60538862809,3.50,1.70,1.70,0.10,3.00,114
68113112976,68113112976,4.00,3.25,2.00,0.19,3.00,3
7418245993,7418245993,9.36,5.51,3.07,3.47,6.00,78
4010000721,4010000721,3.24,2.77,2.77,0.59,8.00,146
5150060441,5150060441,7.20,5.40,1.50,1.34,12.00,47
2460001093,2460001093,6.50,2.63,2.63,1.20,6.00,30
1600043980,1600043980,5.87,5.50,1.56,0.46,12.00,143
5100019625,5100019625,6.32,5.18,4.25,3.38,4.00,30
5800014071,5800014071,9.02,1.97,0.98,0.10,6.00,61
2900001903,2900001903,5.70,4.20,4.20,1.30,6.00,30
2260028001,2260028001,5.00,2.50,1.60,0.20,3.00,75
7874201316,7874201316,5.50,4.70,2.50,0.30,6.00,63
68113128720,68113128720,5.31,2.89,2.89,0.57,3.00,60
72277623001,72277623001,9.50,7.50,2.50,2.21,4.00,37
38137101842,38137101842,7.98,3.00,1.88,0.50,3.00,104
7874227730,7874227730,4.70,3.50,3.50,1.40,8.00,72
2310011437,2310011437,8.50,8.00,6.50,6.50,1.00,150
38137117741,38137117741,8.75,4.13,2.11,1.41,3.00,8
3076833049,3076833049,4.75,3.50,3.50,0.17,3.00,33
2550000518,2550000518,8.73,6.44,6.44,3.50,6.00,74
30573284301,30573284301,5.06,2.50,1.13,0.10,3.00,127
85538000428,85538000428,8.43,2.09,2.09,0.57,6.00,129
60265218400,60265218400,6.50,5.40,1.90,7.36,6.00,103
1600015535,1600015535,12.55,9.40,2.50,1.00,6.00,27
2052512190,2052512190,5.35,2.88,2.88,0.53,3.00,125
7287850523,7287850523,5.00,2.50,2.50,0.97,12.00,131
7874237137,7874237137,5.75,5.50,1.13,1.05,12.00,141
5150000692,5150000692,5.12,2.94,2.94,1.65,12.00,128
1480000184,1480000184,7.11,4.58,4.58,3.07,8.00,16
